,Gebietsnummer,Anteil Deutsche Bevölkerung 2013,Anteil Nichtdeutsche EU Bevölkerung 2013,Anteil Nichtdeutsche nicht EU Bevölkerung 2013,Anteil Migrationshintergrund Bevölkerung 2013,Anteil Verheiratete Bevölkerung 2013,Anteil 18 - 24 Jährige Wahlberechtigte 2013,Anteil 25 - 34 Jährige Wahlberechtigte 2013,Anteil 35 - 44 Jährige Wahlberechtigte 2013,Anteil 45 - 59 Jährige Wahlberechtigte 2013,Anteil 60 Jährige und ältere Wahlberechtigte 2013,Anteil Einpersonenhaushalte 2013,Anteil Haushalte mit Kind(ern) 2013,SV-Beschäftigtendichte 2013,Arbeitslosendichte 2013,ALG II - Empfängerdichte 2013
0,3001,0.8643469490670699,0.0932929904185577,0.0423600605143722,0.23499747856782702,0.28088754412506295,0.100130039011704,0.30494148244473307,0.189206762028609,0.19505851755526699,0.21066319895968802,0.644305772230889,0.10296411856474301,0.531,0.026,0.028
1,3002,0.851600387972842,0.0994180407371484,0.0489815712900097,0.260426770126091,0.318137730358875,0.0718050065876153,0.266798418972332,0.19565217391304396,0.22068511198946,0.24505928853754896,0.6497305619707471,0.127790608160123,0.531,0.026,0.028
2,3003,0.761668321747766,0.155412115193644,0.0829195630585899,0.333664349553128,0.242800397219464,0.0919458303635068,0.40698503207412706,0.166072701354241,0.163934426229508,0.171062009978617,0.7135298563869991,0.0786092214663643,0.531,0.026,0.028
3,3004,0.77349069450749,0.14026327734906902,0.0862460281434408,0.322287789378121,0.229232864275987,0.10148674854557199,0.389786683904331,0.184873949579832,0.173884938590821,0.149967679379444,0.7283276450511942,0.0819112627986348,0.531,0.026,0.028
4,3005,0.779141104294479,0.132609721566777,0.0882491741387447,0.328928739971685,0.232184992921189,0.12191872085276499,0.33111259160559603,0.159893404397069,0.19653564290473002,0.19053964023984,0.6986404833836861,0.0868580060422961,0.531,0.026,0.028
5,3006,0.73044183218484,0.16740980948520498,0.102148358329955,0.372517227401702,0.193352249695987,0.17805020431990698,0.388791593695271,0.118505545826036,0.133099824868652,0.18155283129013397,0.753052917232022,0.0569877883310719,0.531,0.026,0.028
6,3007,0.841,0.1125,0.0465,0.2565,0.292,0.0859427048634244,0.262491672218521,0.195203197868088,0.213191205862758,0.24317121918720896,0.639646869983949,0.102728731942215,0.531,0.026,0.028
7,3008,0.812810327706058,0.131578947368421,0.0556107249255214,0.30188679245283,0.24379344587884802,0.12508497620666198,0.311352821210061,0.176070700203943,0.18150917743032002,0.20598232494901397,0.715045592705167,0.0980243161094225,0.531,0.026,0.028
8,3009,0.821107430194037,0.12588736393753,0.0530052058684335,0.287742546142925,0.24988168480832898,0.111111111111111,0.325626204238921,0.161849710982659,0.18497109826589603,0.216441875401413,0.7071742313323571,0.0944363103953148,0.531,0.026,0.028
9,3010,0.767832167832168,0.148251748251748,0.0839160839160839,0.33426573426573397,0.250815850815851,0.129506008010681,0.33644859813084105,0.15086782376502,0.178237650200267,0.20493991989319102,0.719380888290713,0.082099596231494,0.531,0.026,0.028
