,Gebietsnummer,Bevölkerung 2013,Bevölkerung 2017,Bevölkerung 2020,Anteil Deutsche Bevölkerung 2013,Anteil Nichtdeutsche EU Bevölkerung 2013,Anteil Nichtdeutsche nicht EU Bevölkerung 2013,Anteil Deutsche Bevölkerung 2017,Anteil Nichtdeutsche EU Bevölkerung 2017,Anteil Nichtdeutsche nicht EU Bevölkerung 2017,Anteil Deutsche Bevölkerung 2020,Anteil Nichtdeutsche EU Bevölkerung 2020,Anteil Nichtdeutsche nicht EU Bevölkerung 2020,Anteil Migrationshintergrund Bevölkerung 2013,Anteil Migrationshintergrund Bevölkerung 2017,Anteil Migrationshintergrund Bevölkerung 2020,Anteil Ledige Bevölkerung 2013,Anteil Verheiratete Bevölkerung 2013,Anteil Ledige Bevölkerung 2017,Anteil Verheiratete Bevölkerung 2017,Anteil Ledige Bevölkerung 2020,Anteil Verheiratete Bevölkerung 2020,Anteil 18 - 24 Jährige Wahlberechtigte 2013,Anteil 25 - 34 Jährige Wahlberechtigte 2013,Anteil 35 - 44 Jährige Wahlberechtigte 2013,Anteil 45 - 59 Jährige Wahlberechtigte 2013,Anteil 60 Jährige und ältere Wahlberechtigte 2013,Anteil 18 - 24 Jährige Wahlberechtigte 2017,Anteil 25 - 34 Jährige Wahlberechtigte 2017,Anteil 35 - 44 Jährige Wahlberechtigte 2017,Anteil 45 - 59 Jährige Wahlberechtigte 2017,Anteil 60 Jährige und ältere Wahlberechtigte 2017,Anteil 18 - 24 Jährige Wahlberechtigte 2020,Anteil 25 - 34 Jährige Wahlberechtigte 2020,Anteil 35 - 44 Jährige Wahlberechtigte 2020,Anteil 45 - 59 Jährige Wahlberechtigte 2020,Anteil 60 Jährige und ältere Wahlberechtigte 2020,Anteil Einpersonenhaushalte 2013,Anteil Haushalte mit Kind(ern) 2013,Anteil Einpersonenhaushalte 2017,Anteil Haushalte mit Kind(ern) 2017,Anteil Einpersonenhaushalte 2020,Anteil Haushalte mit Kind(ern) 2020,durchschnittliche Wohndauer 2013,durchschnittliche Wohndauer 2017,durchschnittliche Wohndauer 2020,SV-Beschäftigtendichte 2013,Arbeitslosendichte 2013,ALG II - Empfängerdichte 2013,SV-Beschäftigtendichte 2017,Arbeitslosendichte 2017,ALG II - Empfängerdichte 2017,Wahlbeteiligung 2017,SV-Beschäftigtendichte 2020,Arbeitslosendichte 2020,Erwerbsfähige Leistungsberechtigtendichte 2020,Wahlbeteiligung 2013
0,3001,1983,1966,2014,0.86434694906707,0.0932929904185577,0.0423600605143722,0.834181078331638,0.104781281790437,0.0610376398779247,0.828202581926514,0.10377358490566,0.0680238331678252,0.234997478567827,0.276703967446592,0.296425024826216,0.605143721633888,0.280887544125063,0.609359104781282,0.273652085452696,0.624131082423039,0.263654419066534,0.100130039011704,0.304941482444733,0.189206762028609,0.195058517555267,0.210663198959688,0.0747282608695652,0.307744565217391,0.186820652173913,0.200407608695652,0.230298913043478,0.0604432505036938,0.333109469442579,0.175285426460712,0.213566151779718,0.217595701813298,0.644305772230889,0.102964118564743,0.67339312406577,0.0986547085201794,0.674981658107117,0.102714600146735,17.9188098840141,18.5717192268566,18.2537239324727,0.531,0.026000000000000002,0.027999999999999997,0.5810000000000001,0.025,0.024,0.841,0.53,0.021,0.019,0.782
1,3002,2062,2050,2114,0.851600387972842,0.0994180407371484,0.0489815712900097,0.856585365853658,0.101951219512195,0.0414634146341463,0.84484389782403,0.0941343424787133,0.0610217596972564,0.260426770126091,0.274146341463415,0.293282876064333,0.584384093113482,0.318137730358875,0.58780487804878,0.313658536585366,0.599337748344371,0.313623462630085,0.0718050065876153,0.266798418972332,0.195652173913044,0.22068511198946,0.245059288537549,0.0690112806901128,0.255474452554745,0.205706702057067,0.239548772395488,0.230258792302588,0.0735390676296783,0.255416940249508,0.199606040709127,0.231779382797111,0.239658568614576,0.649730561970747,0.127790608160123,0.648878576952823,0.130703789636504,0.625581395348837,0.137984496124031,18.4649805447471,18.7686676427526,18.6367076631977,0.531,0.026000000000000002,0.027999999999999997,0.5810000000000001,0.025,0.024,0.883,0.53,0.021,0.019,0.8270000000000001
2,3003,2014,2091,2057,0.761668321747766,0.155412115193644,0.0829195630585899,0.753706360593018,0.154949784791966,0.0913438546150167,0.757899854156539,0.125911521633447,0.116188624210015,0.333664349553128,0.358201817312291,0.367525522605736,0.658391261171798,0.242800397219464,0.689143950263032,0.231468197034912,0.681575109382596,0.243072435585805,0.0919458303635068,0.406985032074127,0.166072701354241,0.163934426229508,0.171062009978617,0.0916784203102962,0.418899858956276,0.169957686882934,0.174894217207334,0.144569816643159,0.0924731182795699,0.394982078853047,0.185663082437276,0.171326164874552,0.155555555555556,0.713529856386999,0.0786092214663643,0.695945945945946,0.0953453453453454,0.688226744186046,0.095203488372093,14.3881709741551,13.3524904214559,14.0111813320369,0.531,0.026000000000000002,0.027999999999999997,0.5810000000000001,0.025,0.024,0.873,0.53,0.021,0.019,0.8
3,3004,2203,2143,2170,0.77349069450749,0.140263277349069,0.0862460281434408,0.78021465235651,0.139990667288847,0.079794680354643,0.781566820276498,0.112442396313364,0.105990783410138,0.322287789378121,0.322911805879608,0.338248847926267,0.675442578302315,0.229232864275987,0.675221651889874,0.24731684554363,0.694470046082949,0.234101382488479,0.101486748545572,0.389786683904331,0.184873949579832,0.173884938590821,0.149967679379444,0.0915075707702436,0.378538512179065,0.182356813693219,0.188281764318631,0.159315339038841,0.0862516212710765,0.389105058365759,0.181582360570687,0.168612191958495,0.174448767833982,0.728327645051194,0.0819112627986348,0.70801393728223,0.0871080139372822,0.704032809295967,0.0888585099111415,14.8641526578828,15.2567820392891,15.294470046083,0.531,0.026000000000000002,0.027999999999999997,0.5810000000000001,0.025,0.024,0.8590000000000001,0.53,0.021,0.019,0.775
4,3005,2119,2109,2050,0.779141104294479,0.132609721566777,0.0882491741387447,0.762446657183499,0.134186818397345,0.103366524419156,0.760975609756098,0.128292682926829,0.110731707317073,0.328928739971685,0.354196301564723,0.364390243902439,0.66635205285512,0.232184992921189,0.644855381697487,0.267899478425794,0.639024390243902,0.270731707317073,0.121918720852765,0.331112591605596,0.159893404397069,0.19653564290473,0.19053964023984,0.1,0.345578231292517,0.153741496598639,0.197278911564626,0.203401360544218,0.0949008498583569,0.314447592067989,0.171388101983003,0.193342776203966,0.225920679886686,0.698640483383686,0.0868580060422961,0.67953667953668,0.0872586872586872,0.679275019700552,0.0929866036249015,15.4685281590156,16.2186907020873,16.7356097560976,0.531,0.026000000000000002,0.027999999999999997,0.5810000000000001,0.025,0.024,0.868,0.53,0.021,0.019,0.778
5,3006,2467,2256,2208,0.73044183218484,0.167409809485205,0.102148358329955,0.734929078014184,0.174645390070922,0.0904255319148936,0.735960144927536,0.157608695652174,0.10643115942029,0.372517227401702,0.381648936170213,0.396739130434783,0.693554925010134,0.193352249695987,0.675531914893617,0.213209219858156,0.677536231884058,0.220561594202899,0.178050204319907,0.388791593695271,0.118505545826036,0.133099824868652,0.181552831290134,0.153944836433611,0.36433611289288,0.152020525978191,0.13277742142399,0.196921103271328,0.127673796791444,0.366978609625668,0.174465240641711,0.121657754010695,0.209224598930481,0.753052917232022,0.0569877883310719,0.75697503671072,0.066079295154185,0.738678544914625,0.074981440237565,13.8038976857491,14.6231691078562,14.6897644927536,0.531,0.026000000000000002,0.027999999999999997,0.5810000000000001,0.025,0.024,0.8220000000000001,0.53,0.021,0.019,0.78
6,3007,2000,2060,2017,0.841,0.1125,0.0465,0.833009708737864,0.116990291262136,0.05,0.834407535944472,0.101636093207734,0.0639563708477938,0.2565,0.290776699029126,0.294496777392167,0.603,0.292,0.59126213592233,0.303883495145631,0.590976698066435,0.305899851264254,0.0859427048634244,0.262491672218521,0.195203197868088,0.213191205862758,0.243171219187209,0.0631296171927468,0.280725319006044,0.185359301544661,0.213566151779718,0.25721961047683,0.0677731673582296,0.255186721991701,0.191562932226833,0.216459197786999,0.269017980636238,0.639646869983949,0.102728731942215,0.640984908657665,0.129467831612391,0.652886115444618,0.126365054602184,18.6653326663332,19.0966958211856,19.8081308874566,0.531,0.026000000000000002,0.027999999999999997,0.5810000000000001,0.025,0.024,0.8640000000000001,0.53,0.021,0.019,0.772
7,3008,2014,2051,1985,0.812810327706058,0.131578947368421,0.0556107249255214,0.805460750853242,0.120429058995612,0.0741101901511458,0.812594458438287,0.115869017632242,0.071536523929471,0.30188679245283,0.308142369575817,0.314861460957179,0.661866931479642,0.243793445878848,0.661140906874695,0.254022428083862,0.660453400503778,0.25088161209068,0.125084976206662,0.311352821210061,0.176070700203943,0.18150917743032,0.205982324949014,0.107702794819359,0.320381731424676,0.186094069529652,0.186775732788003,0.199045671438309,0.0911002102312544,0.316748423265592,0.185704274702172,0.204625087596356,0.201822004204625,0.715045592705167,0.0980243161094225,0.713328369322412,0.10126582278481,0.720632530120482,0.106927710843373,15.8463451019393,15.7710371819961,16.5581863979849,0.531,0.026000000000000002,0.027999999999999997,0.5810000000000001,0.025,0.024,0.838,0.53,0.021,0.019,0.7859999999999999
8,3009,2113,2085,2067,0.821107430194037,0.12588736393753,0.0530052058684335,0.816786570743405,0.125659472422062,0.0575539568345324,0.818093855829705,0.113207547169811,0.0686985970004838,0.287742546142925,0.305515587529976,0.315432994678278,0.639848556554662,0.249881684808329,0.627817745803357,0.266666666666667,0.631833575229802,0.257377842283503,0.111111111111111,0.325626204238921,0.161849710982659,0.184971098265896,0.216441875401413,0.0902455209024552,0.337757133377571,0.161247511612475,0.197080291970803,0.213669542136695,0.0895325872284398,0.341672152732061,0.155365371955234,0.19157340355497,0.221856484529296,0.707174231332357,0.0944363103953148,0.713874910136592,0.0992092020129403,0.715217391304348,0.0891304347826087,16.5483412322275,17.3504560729717,17.6255442670537,0.531,0.026000000000000002,0.027999999999999997,0.5810000000000001,0.025,0.024,0.8640000000000001,0.53,0.021,0.019,0.794
9,3010,2145,2166,2163,0.767832167832168,0.148251748251748,0.0839160839160839,0.749769159741459,0.15881809787627,0.0914127423822715,0.749422098936662,0.146555709662506,0.104022191400832,0.334265734265734,0.35180055401662,0.363384188626907,0.646153846153846,0.250815850815851,0.659741458910434,0.245152354570637,0.669902912621359,0.252427184466019,0.129506008010681,0.336448598130841,0.15086782376502,0.178237650200267,0.204939919893191,0.103825136612022,0.35655737704918,0.146857923497268,0.191939890710382,0.200819672131148,0.09500693481276,0.358529819694868,0.174063800277393,0.180998613037448,0.191400832177531,0.719380888290713,0.082099596231494,0.722745625841184,0.0874831763122476,0.712464589235128,0.0970254957507082,15.328664799253,15.127197039778,15.3314840499307,0.531,0.026000000000000002,0.027999999999999997,0.5810000000000001,0.025,0.024,0.851,0.53,0.021,0.019,0.787
