,Gebietsnummer,Anzahl Einwohner,Anteil Deutsche,Anteil EU-Ausländer,Anteil Nicht EU-Ausländer,Anteil Migrationshintergrund,Anteil Ledige,Anteil Verheiratete,Anteil Deutsche W,Anteil EU-Ausländer W,Anteil 18-24-Jährige,Anteil 25-34-Jährige,Anteil 35-44-Jährige,Anteil 45-59-Jährige,Anteil 60-Jährige und Ältere,Anteil Einpersonenhaushalten,Anteil Haushalte mit Kindern,Wohndauer in München,SV-Beschäftigtendichte,Arbeitslosendichte,Erwerbsfähige Leistungsberechtigtendichte
252,12004,2398,76.5,11.0,12.6,46.7,45.8,41.7,85.6,14.4,9.9,15.1,14.5,28.8,31.8,47.6,18.9,24.7,58.1,2.7,4.4
253,12005,2633,77.3,10.5,12.2,45.0,51.0,42.2,85.2,14.8,10.1,17.9,22.5,26.7,22.8,29.8,34.7,18.5,58.1,2.7,4.4
254,12006,2278,71.5,11.9,16.6,47.0,39.5,32.9,86.0,14.0,9.6,12.2,7.4,16.5,54.2,48.7,16.4,27.0,58.1,2.7,4.4
255,12007,2589,67.1,12.0,20.9,43.9,63.7,29.1,83.1,16.9,26.8,20.4,13.3,20.7,18.8,41.0,23.4,16.4,58.1,2.7,4.4
256,12008,2454,72.0,13.4,14.6,41.4,50.4,40.5,82.3,17.7,10.0,20.6,18.2,25.6,25.6,45.8,21.7,17.8,58.1,2.7,4.4
257,12009,2473,66.8,19.8,13.4,44.6,52.4,35.7,77.1,22.9,11.4,24.8,16.5,25.2,22.1,57.2,14.5,17.3,58.1,2.7,4.4
258,12010,4043,44.1,15.5,40.4,66.1,45.5,29.8,72.2,27.8,9.7,21.2,15.2,25.2,28.7,55.1,14.9,14.8,58.1,2.7,4.4
259,12011,2964,69.7,14.3,16.0,56.9,52.1,39.9,80.1,19.9,7.7,23.5,31.8,26.0,11.2,38.0,36.4,13.2,58.1,2.7,4.4
260,12012,4018,62.0,12.2,25.8,64.1,55.9,34.1,80.1,19.9,9.6,26.5,32.9,21.3,9.8,21.5,49.7,10.0,58.1,2.7,4.4
261,12013,2777,62.0,21.6,16.4,53.9,57.0,32.1,73.6,26.4,9.5,33.7,16.8,19.5,20.4,62.3,13.2,16.1,58.1,2.7,4.4
262,12014,3192,51.3,17.9,30.7,58.4,79.4,16.0,72.2,27.8,42.3,23.4,10.0,10.8,13.5,50.9,20.0,9.6,58.1,2.7,4.4
263,12015,2223,77.1,13.5,9.5,33.6,56.4,31.1,85.1,14.9,6.9,27.8,17.2,23.0,25.1,69.0,8.6,19.1,58.1,2.7,4.4
264,12016,2519,64.8,18.1,17.1,52.1,62.0,28.1,76.9,23.1,8.7,35.5,21.2,20.6,14.0,60.1,11.6,13.4,58.1,2.7,4.4
265,12017,2271,73.9,13.3,12.9,39.9,47.8,40.0,84.0,16.0,7.8,17.8,15.3,24.5,34.6,53.0,15.7,19.8,58.1,2.7,4.4
266,12018,2039,84.4,7.9,7.7,28.8,51.2,32.8,90.4,9.6,9.1,17.6,15.9,22.7,34.6,58.3,16.0,20.7,58.1,2.7,4.4
267,12019,2071,81.2,11.6,7.2,31.2,59.0,28.9,87.0,13.0,8.4,25.1,19.7,20.5,26.3,66.9,11.3,18.3,58.1,2.7,4.4
268,12020,2211,78.1,13.7,8.1,33.4,50.8,35.5,84.1,15.9,8.0,21.1,14.7,24.4,31.7,61.4,11.3,22.5,58.1,2.7,4.4
269,12021,2270,82.4,10.2,7.4,30.6,55.0,34.1,87.7,12.3,7.1,20.8,18.6,26.1,27.4,59.3,17.8,18.0,58.1,2.7,4.4
