,Gebietsnummer,Anteil Deutsche Bevölkerung 2017,Anteil Nichtdeutsche EU Bevölkerung 2017,Anteil Nichtdeutsche nicht EU Bevölkerung 2017,Anteil Migrationshintergrund Bevölkerung 2017,Anteil Verheiratete Bevölkerung 2017,Anteil 18 - 24 Jährige Wahlberechtigte 2017,Anteil 25 - 34 Jährige Wahlberechtigte 2017,Anteil 35 - 44 Jährige Wahlberechtigte 2017,Anteil 45 - 59 Jährige Wahlberechtigte 2017,Anteil 60 Jährige und ältere Wahlberechtigte 2017,Anteil Einpersonenhaushalte 2017,Anteil Haushalte mit Kind(ern) 2017,durchschnittliche Wohndauer 2017,SV-Beschäftigtendichte 2017,Arbeitslosendichte 2017,ALG II - Empfängerdichte 2017,Wahlbeteiligung 2017,Label
0,3001,0.834181078331638,0.10478128179043698,0.0610376398779247,0.276703967446592,0.27365208545269604,0.0747282608695652,0.30774456521739096,0.186820652173913,0.20040760869565197,0.230298913043478,0.67339312406577,0.0986547085201794,18.5717192268566,0.5810000000000001,0.025,0.024,0.841,2
1,3002,0.856585365853658,0.101951219512195,0.0414634146341463,0.27414634146341504,0.313658536585366,0.0690112806901128,0.255474452554745,0.20570670205706698,0.23954877239548802,0.230258792302588,0.648878576952823,0.130703789636504,18.768667642752604,0.5810000000000001,0.025,0.024,0.883,2
2,3003,0.753706360593018,0.154949784791966,0.0913438546150167,0.35820181731229106,0.231468197034912,0.0916784203102962,0.418899858956276,0.16995768688293397,0.174894217207334,0.144569816643159,0.6959459459459459,0.0953453453453454,13.3524904214559,0.5810000000000001,0.025,0.024,0.873,3
3,3004,0.78021465235651,0.139990667288847,0.079794680354643,0.322911805879608,0.24731684554363,0.0915075707702436,0.378538512179065,0.182356813693219,0.188281764318631,0.159315339038841,0.7080139372822299,0.0871080139372822,15.2567820392891,0.5810000000000001,0.025,0.024,0.8590000000000001,3
4,3005,0.762446657183499,0.134186818397345,0.103366524419156,0.354196301564723,0.267899478425794,0.1,0.34557823129251697,0.153741496598639,0.197278911564626,0.203401360544218,0.67953667953668,0.0872586872586872,16.2186907020873,0.5810000000000001,0.025,0.024,0.868,2
5,3006,0.7349290780141841,0.174645390070922,0.0904255319148936,0.38164893617021295,0.213209219858156,0.15394483643361098,0.36433611289288,0.15202052597819102,0.13277742142399,0.19692110327132797,0.7569750367107199,0.066079295154185,14.6231691078562,0.5810000000000001,0.025,0.024,0.8220000000000001,3
6,3007,0.8330097087378641,0.116990291262136,0.05,0.29077669902912606,0.30388349514563107,0.0631296171927468,0.280725319006044,0.185359301544661,0.21356615177971802,0.25721961047682995,0.640984908657665,0.12946783161239098,19.0966958211856,0.5810000000000001,0.025,0.024,0.8640000000000001,2
7,3008,0.8054607508532421,0.120429058995612,0.0741101901511458,0.30814236957581703,0.254022428083862,0.10770279481935902,0.320381731424676,0.18609406952965196,0.18677573278800302,0.19904567143830898,0.7133283693224121,0.10126582278480999,15.7710371819961,0.5810000000000001,0.025,0.024,0.838,3
8,3009,0.8167865707434051,0.125659472422062,0.0575539568345324,0.305515587529976,0.266666666666667,0.0902455209024552,0.337757133377571,0.16124751161247503,0.19708029197080298,0.213669542136695,0.7138749101365921,0.0992092020129403,17.3504560729717,0.5810000000000001,0.025,0.024,0.8640000000000001,2
9,3010,0.7497691597414591,0.15881809787627,0.0914127423822715,0.35180055401661997,0.245152354570637,0.10382513661202197,0.35655737704917995,0.146857923497268,0.19193989071038198,0.200819672131148,0.7227456258411841,0.0874831763122476,15.127197039777998,0.5810000000000001,0.025,0.024,0.851,3
10,3011,0.785747126436782,0.125977011494253,0.0882758620689655,0.321379310344828,0.27816091954023,0.115461181154612,0.29661579296615803,0.16854678168546802,0.197743861977439,0.22163238221632398,0.682528409090909,0.102982954545455,15.9386531365314,0.5810000000000001,0.025,0.024,0.8370000000000001,3
11,3012,0.763533997401472,0.13988739714162,0.0965786054569078,0.359029883066262,0.26461671719359,0.151674326986211,0.26526592252133896,0.16874589625738698,0.193040052527905,0.22127380170715696,0.6563517915309449,0.133550488599349,13.9286025250327,0.5810000000000001,0.025,0.024,0.878,3
12,3013,0.735900962861073,0.135259055479138,0.128839981659789,0.38697845025217803,0.227877120586887,0.123783031988873,0.337969401947149,0.171070931849791,0.175938803894298,0.19123783031988897,0.7073347857661579,0.09295570079883801,15.0091827364555,0.5810000000000001,0.025,0.024,0.8059999999999999,3
13,3014,0.800582241630277,0.121785540999515,0.0776322173702086,0.30761766132945195,0.248908296943231,0.10391363022941999,0.336032388663968,0.192982456140351,0.19838056680161897,0.168690958164642,0.7040590405904059,0.0915129151291513,13.813352826510698,0.5810000000000001,0.025,0.024,0.8470000000000001,3
14,3015,0.6298449612403101,0.160077519379845,0.210077519379845,0.504651162790698,0.297674418604651,0.103114186851211,0.279584775086505,0.15432525951557097,0.22560553633217997,0.237370242214533,0.6784586228679721,0.0947567909033481,14.010101010101,0.5810000000000001,0.025,0.024,0.8140000000000001,3
15,3016,0.7457142857142858,0.144285714285714,0.11,0.37428571428571394,0.218571428571429,0.16563146997929598,0.39544513457556896,0.159420289855072,0.153209109730849,0.126293995859213,0.7179080824088749,0.072107765451664,12.917540514776,0.5810000000000001,0.025,0.024,0.823,3
16,3017,0.761926605504587,0.13073394495412802,0.107339449541284,0.353669724770642,0.26559633027522894,0.0883152173913044,0.3532608695652171,0.19429347826086998,0.19701086956521696,0.167119565217391,0.6906866077498299,0.10129163834126399,14.1740927882407,0.5810000000000001,0.025,0.024,0.8520000000000001,3
17,3018,0.71875,0.152960526315789,0.128289473684211,0.42516447368421,0.272615131578947,0.0840998685939553,0.38042049934296995,0.19513797634691196,0.18988173455979002,0.15045992115637302,0.655826558265583,0.125338753387534,12.355290242898299,0.5810000000000001,0.025,0.024,0.8320000000000001,3
18,3019,0.734137622877569,0.163092046470063,0.10277033065236801,0.402591599642538,0.30920464700625605,0.0726408689748812,0.365241004752206,0.18397827562796998,0.19755600814664004,0.18058384249830303,0.640579710144928,0.10797101449275401,15.0724508050089,0.5810000000000001,0.025,0.024,0.8109999999999999,3
19,3020,0.716456795484151,0.169778549717759,0.113764654798089,0.393399913156752,0.20885801128962198,0.133993399339934,0.40330033003300303,0.176897689768977,0.16039603960395998,0.125412541254125,0.7276964047936079,0.0712383488681758,12.3553719008264,0.5810000000000001,0.025,0.024,0.8590000000000001,3
20,3021,0.752133105802048,0.148890784982935,0.0989761092150171,0.368174061433447,0.290102389078498,0.0559748427672956,0.29622641509434006,0.18238993710691798,0.20880503144654103,0.256603773584906,0.666666666666667,0.0952380952380952,18.155489107219104,0.5810000000000001,0.025,0.024,0.846,2
21,3022,0.5836603638958261,0.24366749910809804,0.172672136996076,0.513735283624688,0.247948626471638,0.114421123899797,0.345971563981043,0.195666892349357,0.21123899796885603,0.13270142180094802,0.720066518847007,0.0864745011086474,10.827968526466401,0.5810000000000001,0.025,0.024,0.812,3
22,3023,0.643939393939394,0.16567852437417702,0.19038208168642998,0.578063241106719,0.33596837944664004,0.0726439790575916,0.29908376963350797,0.214005235602094,0.27552356020942403,0.13874345549738198,0.512365250475587,0.19340519974635395,13.695322793148902,0.5810000000000001,0.025,0.024,0.804,3
23,4001,0.6922431865828089,0.168972746331237,0.138784067085954,0.451991614255765,0.309853249475891,0.0862771739130435,0.311141304347826,0.152173913043478,0.16915760869565197,0.28125,0.63568010936432,0.114149008885851,17.8274559193955,0.585,0.025,0.027000000000000003,0.8059999999999999,2
24,4002,0.6885911490052778,0.157937474624442,0.15347137637028,0.440925700365408,0.31790499390986604,0.0639841688654354,0.28496042216358797,0.16820580474934,0.184036939313984,0.298812664907652,0.689467312348668,0.0962469733656174,17.3770358306189,0.585,0.025,0.027000000000000003,0.795,2
25,4003,0.7204081632653059,0.152244897959184,0.12734693877550998,0.41918367346938795,0.337959183673469,0.0689655172413793,0.255427841634738,0.142401021711367,0.206896551724138,0.326309067688378,0.6253263707571801,0.12140992167101801,19.143617021276604,0.585,0.025,0.027000000000000003,0.8200000000000001,2
26,4004,0.687004754358162,0.175911251980983,0.137083993660856,0.467115689381933,0.316561014263074,0.052734375,0.27278645833333304,0.190104166666667,0.189453125,0.294921875,0.6435832274459979,0.11944091486658198,17.993259318001602,0.585,0.025,0.027000000000000003,0.778,2
27,4005,0.742786479802143,0.11953833470733699,0.13767518549051902,0.42621599340478206,0.316570486397362,0.0612648221343874,0.17588932806324098,0.17918313570487499,0.191699604743083,0.391963109354414,0.53584229390681,0.193548387096774,18.762180016515302,0.585,0.025,0.027000000000000003,0.7290000000000001,2
28,4006,0.656898656898657,0.17989417989418,0.163207163207163,0.463573463573464,0.311762311762312,0.0693681318681319,0.26854395604395603,0.147664835164835,0.164148351648352,0.350274725274725,0.6681672025723471,0.0913183279742765,18.213061224489802,0.585,0.025,0.027000000000000003,0.774,2
