"Gebietsnummer";"Wahlbeteiligung 2013";"Karte 2"
12015;75.5;"Mittelbereich 23,63 - 40,98%"
12016;71.2;"Mittelbereich 23,63 - 40,98%"
12017;80.2;"Mittelbereich 23,63 - 40,98%"
12018;78.7;"Mittelbereich 23,63 - 40,98%"
12019;78.4;"Mittelbereich 23,63 - 40,98%"
12020;77.8;"Mittelbereich 23,63 - 40,98%"
12021;81.7;"Mittelbereich 23,63 - 40,98%"
12022;76.5;"Mittelbereich 23,63 - 40,98%"
12023;76.7;"Mittelbereich 23,63 - 40,98%"
12024;78.8;"Mittelbereich 23,63 - 40,98%"
12025;80.3;"Mittelbereich 23,63 - 40,98%"
12026;82;"Mittelbereich 23,63 - 40,98%"
12027;75.6;"Mittelbereich 23,63 - 40,98%"
12028;77.8;"Mittelbereich 23,63 - 40,98%"
12029;77.7;"Mittelbereich 23,63 - 40,98%"
12030;73.6;"Mittelbereich 23,63 - 40,98%"
12031;69.8;"Mittelbereich 23,63 - 40,98%"
24001;51;"Mittelbereich 23,63 - 40,98%"
24002;72;"Hochburg 40,99 - 53,84%"
24003;74.9;"Hochburg 40,99 - 53,84%"
24004;73.7;"Mittelbereich 23,63 - 40,98%"
24005;82;"Mittelbereich 23,63 - 40,98%"
24006;79.8;"Mittelbereich 23,63 - 40,98%"
24007;71.9;"Mittelbereich 23,63 - 40,98%"
24008;65.6;"Mittelbereich 23,63 - 40,98%"
24009;63.8;"Mittelbereich 23,63 - 40,98%"
24010;59.2;"Mittelbereich 23,63 - 40,98%"
24011;47;"Mittelbereich 23,63 - 40,98%"
24012;34.8;"Mittelbereich 23,63 - 40,98%"
24013;46.7;"Mittelbereich 23,63 - 40,98%"
24014;54.4;"Mittelbereich 23,63 - 40,98%"
24015;62.3;"Mittelbereich 23,63 - 40,98%"
24016;66.3;"Mittelbereich 23,63 - 40,98%"
24017;68.1;"Mittelbereich 23,63 - 40,98%"
24018;62.2;"Mittelbereich 23,63 - 40,98%"
24019;75.5;"Mittelbereich 23,63 - 40,98%"
24020;76;"Hochburg 40,99 - 53,84%"
24021;75.6;"Mittelbereich 23,63 - 40,98%"
24022;74.8;"Mittelbereich 23,63 - 40,98%"
