Gebietsnummer;Bevölkerung 2013;Bevölkerung 2017;Bevölkerung 2020;Anteil Deutsche Bevölkerung 2013;Anteil Nichtdeutsche EU Bevölkerung 2013;Anteil Nichtdeutsche nicht EU Bevölkerung 2013;Anteil Deutsche Bevölkerung 2017;Anteil Nichtdeutsche EU Bevölkerung 2017;Anteil Nichtdeutsche nicht EU Bevölkerung 2017;Anteil Deutsche Bevölkerung 2020;Anteil Nichtdeutsche EU Bevölkerung 2020;Anteil Nichtdeutsche nicht EU Bevölkerung 2020;Anteil Migrationshintergrund Bevölkerung 2013;Anteil Migrationshintergrund Bevölkerung 2017;Anteil Migrationshintergrund Bevölkerung 2020;Anteil Ledige Bevölkerung 2013;Anteil Verheiratete Bevölkerung 2013;Anteil Ledige Bevölkerung 2017;Anteil Verheiratete Bevölkerung 2017;Anteil Ledige Bevölkerung 2020;Anteil Verheiratete Bevölkerung 2020;Anteil 18 - 24 Jährige Wahlberechtigte 2013;Anteil 25 - 34 Jährige Wahlberechtigte 2013;Anteil 35 - 44 Jährige Wahlberechtigte 2013;Anteil 45 - 59 Jährige Wahlberechtigte 2013;Anteil 60 Jährige und ältere Wahlberechtigte 2013;Anteil 18 - 24 Jährige Wahlberechtigte 2017;Anteil 25 - 34 Jährige Wahlberechtigte 2017;Anteil 35 - 44 Jährige Wahlberechtigte 2017;Anteil 45 - 59 Jährige Wahlberechtigte 2017;Anteil 60 Jährige und ältere Wahlberechtigte 2017;Anteil 18 - 24 Jährige Wahlberechtigte 2020;Anteil 25 - 34 Jährige Wahlberechtigte 2020;Anteil 35 - 44 Jährige Wahlberechtigte 2020;Anteil 45 - 59 Jährige Wahlberechtigte 2020;Anteil 60 Jährige und ältere Wahlberechtigte 2020;Anteil Einpersonenhaushalte 2013;Anteil Haushalte mit Kind(ern) 2013;Anteil Einpersonenhaushalte 2017;Anteil Haushalte mit Kind(ern) 2017;Anteil Einpersonenhaushalte Juni 2020;Anteil Haushalte mit Kind(ern) Juni 2020;durchschnittliche Wohndauer 2013;durchschnittliche Wohndauer 2017;durchschnittliche Wohndauer 2020
02002;2286;2541;2661;0,719597550306212;0,173665791776028;0,10673665791776;0,68280204643841;0,158205430932704;0,158992522628886;0,676061630965802;0,150319428786171;0,173618940248027;0,376640419947507;0,421881149153876;0,457346862081924;0,60673665791776;0,293963254593176;0,582054309327037;0,314443132624951;0,591882750845547;0,306275836151823;0,0853825136612022;0,317622950819672;0,210382513661202;0,219262295081967;0,167349726775956;0,0746860541969597;0,299405155320555;0,211500330469266;0,250495703899537;0,163912756113681;0,0785576303927882;0,277527366387637;0,229233741146169;0,253702511268513;0,160978750804894;0,640776699029126;0,105409153952843;0,628818061088977;0,123505976095618;0,599871547848426;0,138728323699422;14,1816987740806;13,6182033096927;13,6095452837279
02003;2024;2097;2254;0,766798418972332;0,149703557312253;0,083498023715415;0,776824034334764;0,147353361945637;0,0758226037195994;0,780834072759539;0,133540372670807;0,0856255545696539;0,339426877470356;0,342870767763472;0,358917480035492;0,601284584980237;0,289525691699605;0,601335240820219;0,298044825941822;0,609582963620231;0,298580301685892;0,0896057347670251;0,296774193548387;0,196415770609319;0,23010752688172;0,187096774193548;0,0796398891966759;0,304709141274238;0,194598337950138;0,238919667590028;0,18213296398892;0,069888961463096;0,305682560418027;0,211626387981711;0,215545395166558;0,197256694970607;0,664586583463338;0,0982839313572543;0,649253731343284;0,108208955223881;0,632150615496017;0,12599565532223;15,7682806324111;15,9651551312649;15,6295474711624
02004;2493;2629;2509;0,650621740874448;0,176093060569595;0,173285198555957;0,613541270445036;0,154050969950552;0,232407759604412;0,636508569151056;0,146273415703468;0,217218015145476;0,443642198154834;0,487637885127425;0,478278198485452;0,633774568792619;0,24187725631769;0,628756181057436;0,262076835298593;0,648066958947788;0,248704663212435;0,126;0,336666666666667;0,174;0,173333333333333;0,19;0,12516733601071;0,315930388219545;0,170013386880857;0,183400267737617;0,205488621151272;0,125686813186813;0,304945054945055;0,180631868131868;0,177197802197802;0,211538461538462;0,714681440443213;0,0851800554016621;0,674432863274065;0,0846106683016554;0,671978751660026;0,0810092961487384;12,3374799357945;12,3264761904762;12,9027500996413
02005;2778;2707;2624;0,656947444204464;0,209143268538517;0,133909287257019;0,658293313631326;0,203915773919468;0,137790912449206;0,657774390243902;0,191310975609756;0,150914634146341;0,44816414686825;0,460657554488364;0,473704268292683;0,598992080633549;0,305975521958243;0,611377909124492;0,299224233468785;0,622332317073171;0,289253048780488;0,123388581952118;0,329036218538981;0,165131982811541;0,201964395334561;0,180478821362799;0,108778625954198;0,332697201017812;0,17175572519084;0,190839694656489;0,195928753180662;0,119187950229208;0,296005239030779;0,185985592665357;0,199083169613622;0,199738048461035;0,611668757841907;0,110414052697616;0,622878692646134;0,106222501571339;0,643533123028391;0,100946372239748;13,9192501802451;14,516845612736;15,2019817073171
02006;2566;2526;2496;0,686671862821512;0,218238503507404;0,0950896336710834;0,705859065716548;0,207838479809976;0,0863024544734759;0,713141025641026;0,190304487179487;0,0965544871794872;0,407248636009353;0,407363420427553;0,417067307692308;0,609898674980514;0,291504286827748;0,605700712589074;0,302454473475851;0,60136217948718;0,307692307692308;0,0821827744904668;0,330703484549638;0,241946088099934;0,200525969756739;0,144641683103222;0,0781352593565332;0,317137229152988;0,221273801707157;0,220617202889035;0,162836506894288;0,0695538057742782;0,328083989501312;0,225721784776903;0,213254593175853;0,163385826771654;0,660669975186104;0,122828784119107;0,65022137887413;0,127134724857685;0,662914321450907;0,121325828642902;14,2460038986355;14,9710317460317;15,4074519230769
02007;2313;2324;2368;0,771292693471682;0,148724600086468;0,0799827064418504;0,756024096385542;0,150172117039587;0,0938037865748709;0,744087837837838;0,155405405405405;0,100506756756757;0,328577604842196;0,360154905335628;0,38597972972973;0,62905317769131;0,266320795503675;0,638123924268503;0,27710843373494;0,627956081081081;0,285472972972973;0,0630630630630631;0,323680823680824;0,205276705276705;0,236164736164736;0,171814671814672;0,0744611365120836;0,30698889614631;0,201175702155454;0,240365774003919;0,177008491182234;0,0683311432325887;0,292378449408673;0,211563731931669;0,236530880420499;0,19119579500657;0,658263305322129;0,118347338935574;0,646814404432133;0,123268698060942;0,642351274787535;0,123937677053824;15,4150779896014;15,7268418785006;15,6283783783784
02008;2465;2439;2431;0,71237322515213;0,191886409736308;0,0957403651115619;0,734727347273473;0,161131611316113;0,104141041410414;0,736322501028383;0,160016454134101;0,103661044837515;0,39026369168357;0,384993849938499;0,391197038255862;0,608519269776876;0,300608519269777;0,622386223862239;0,291512915129151;0,631016042780749;0,286713286713287;0,0889914304548451;0,330916282135794;0,244561634805537;0,194462755438365;0,141067897165458;0,0922774869109948;0,329842931937173;0,208769633507853;0,229057591623037;0,140052356020942;0,096542726679713;0,328767123287671;0,208741030658839;0,226353555120678;0,139595564253098;0,647136273864384;0,125082290980908;0,635873229939312;0,130815913688469;0,646822742474916;0,125752508361204;14,2507110930516;14,970841889117;15,4467297408474
02009;2283;2464;2435;0,756022777047744;0,137538326763031;0,106438896189225;0,772727272727273;0,125405844155844;0,101866883116883;0,772073921971253;0,107186858316222;0,120739219712526;0,331143232588699;0,341720779220779;0,357289527720739;0,597897503285151;0,32413491020587;0,589691558441558;0,33887987012987;0,592607802874743;0,327310061601643;0,0664451827242525;0,267774086378738;0,274418604651163;0,248504983388704;0,142857142857143;0,0671688637790333;0,247959824231011;0,254237288135593;0,28436911487759;0,146264908976773;0,0646797717184528;0,269499048826886;0,220672162333545;0,287888395688015;0,157260621433101;0,621190130624093;0,12699564586357;0,600549073438572;0,16060398078243;0,602555003548616;0,154009936124911;12,8017543859649;12,9443089430894;13,6369609856263
02010;2402;2413;2483;0,795170691090758;0,137801831806828;0,0670274771024146;0,79361790302528;0,136759220886863;0,0696228760878574;0,779701973419251;0,132098268223923;0,0881997583568264;0,302248126561199;0,313717364276834;0,34192509061619;0,613238967527061;0,284762697751873;0,607128056361376;0,29714048901782;0,619412001610954;0,302053966975433;0,0530973451327434;0,262326169405815;0,265486725663717;0,248419721871049;0,170670037926675;0,0551589876703439;0,227125243348475;0,262167423750811;0,290720311486048;0,164828033744322;0,0653008962868118;0,233674775928297;0,227912932138284;0,30729833546735;0,165813060179257;0,6073187895848;0,171710063335679;0,594001463057791;0,200438917337235;0,576784426820476;0,197548666186013;15,4082568807339;15,9888059701493;16,242045912203
02011;2274;2306;2255;0,770008795074758;0,134124890061566;0,0958663148636764;0,76539462272333;0,137467476149176;0,0971379011274935;0,769844789356984;0,129046563192905;0,101108647450111;0,342568161829376;0,360364267129228;0,372505543237251;0,579595426561126;0,285400175901495;0,569817866435386;0,278837814397225;0,587139689578714;0,269623059866962;0,0524546065904506;0,225285810356422;0,215198386012105;0,248823133826496;0,258238063214526;0,0532194480946124;0,204336399474376;0,201051248357424;0,268725361366623;0,272667542706964;0,0615280594996619;0,177822853279243;0,211629479377958;0,280594996619337;0,2684246112238;0,605746209098164;0,164405426975259;0,621998450813323;0,141750580945004;0,613690007867821;0,151848937844217;20,4757281553398;20,9782986111111;21,2506654835847
